"Belarus, Mobile",37529; 37533; 37544,0.3039
"Belgium",32,0.0210
"Belgium Mobile BASE",3248,0.0658
"Belgium Mobile MOBISTAR",3249,0.0592
"Belgium Mobile PROXIMUS",3247,0.0553
"Belgium UNIVERSAL ACCESS",32702; 32703; 32704; 32706; 32707,0.0408
"Belgium,  Mobile",32460,0.0553
"Belgium, Mobile",324681; 324682; 324683,0.0263
"Belize",501,0.2605
"Belize, Mobile",5016,0.2697
"Benin",229,0.2658
"Benin, Mobile",2290; 22920; 22923; 22928; 22940; 22942; 22944; 22945; 22947; 22948; 22956; 22957; 22958; 22960; 22964; 22966; 22968; 22969; 22984; 22985; 22986; 22987; 22988; 22989; 2299; 22994; 22995; 22996; 22997,0.2684
"Bermuda",1441,0.0526
"Bhutan",975,0.1118
"Bolivia",591,0.1671
"Bolivia, La Paz",5912,0.1184
"Bolivia, Mobile",5911; 5917,0.2053
"Bosnia and Herzegovina",387,0.1447
"Bosnia and Herzegovina, Mobile",3876,0.3290
"Bosnia and Herzegovina, Sarejevo",38733; 38771,0.1447
"Botswana",267,0.1079
"Botswana, Mobile",2677,0.2447
"Brazil",55,0.0368
"Brazil, Brasilia",5561,0.0395
